"","Mau_duration","Community","log","rFq_morph","rFq_action","SigID","Gesture_actionID","MorphID","GoalID"
"108",1.319,"Waibira",0.276873873735178,0.0857605177993527,0.210355987055016,"ID_9","G_action_1","Morph_1","Goal_12"
"109",1.44,"Waibira",0.364643113587909,0.040453074433657,0.147249190938511,"ID_9","G_action_2","Morph_25","Goal_12"
"110",1.2,"Waibira",0.182321556793955,0.0444983818770227,0.210355987055016,"ID_9","G_action_1","Morph_23","Goal_12"
"111",1.079,"Waibira",0.0760346862759976,0.0857605177993527,0.101132686084142,"ID_9","G_action_4","Morph_6","Goal_2"
"112",1.308,"Waibira",0.268499253035007,0.0857605177993527,0.210355987055016,"ID_9","G_action_1","Morph_1","Goal_1"
"113",0.753,"Waibira",-0.283690051182243,0.00566343042071197,0.0307443365695793,"ID_10","G_action_7","Morph_13","Goal_8"
"114",1.56,"Waibira",0.444685821261446,0.0194174757281553,0.210355987055016,"ID_10","G_action_1","Morph_4","Goal_16"
"115",0.254,"Waibira",-1.3704210119636,0.00809061488673139,0.0533980582524272,"ID_10","G_action_5","Morph_9","Goal_16"
"116",0.704,"Waibira",-0.350976922824095,0.0040453074433657,0.00242718446601942,"ID_10","G_action_23","Morph_39","Goal_16"
"117",0.384,"Waibira",-0.95711272639441,0.00566343042071197,0.0307443365695793,"ID_10","G_action_7","Morph_13","Goal_16"
"118",1.369,"Waibira",0.314080546306312,0.00485436893203883,0.0533980582524272,"ID_10","G_action_5","Morph_40","Goal_7"
"119",1.08,"Waibira",0.0769610411361284,0.0857605177993527,0.210355987055016,"ID_10","G_action_1","Morph_1","Goal_16"
"120",1.591,"Waibira",0.46436274935565,0.0444983818770227,0.210355987055016,"ID_10","G_action_1","Morph_23","Goal_9"
"121",0.274,"Waibira",-1.29462717259407,0.00647249190938511,0.0533980582524272,"ID_10","G_action_5","Morph_41","Goal_16"
"122",0.904,"Waibira",-0.100925918589961,0.0857605177993527,0.101132686084142,"ID_10","G_action_4","Morph_6","Goal_3"
"123",1.52,"Waibira",0.418710334858185,0.0339805825242718,0.147249190938511,"ID_10","G_action_2","Morph_26","Goal_1"
"124",0.68,"Waibira",-0.385662480811985,0.0040453074433657,0.0040453074433657,"ID_10","G_action_24","Morph_42","Goal_10"
"125",0.237,"Waibira",-1.43969513784701,0.0453074433656958,0.00970873786407767,"ID_10","G_action_15",NA,"Goal_10"
"126",1.12,"Waibira",0.113328685307003,0.023462783171521,0.029126213592233,"ID_10","G_action_25","Morph_43","Goal_10"
