,ClipName,Record.,Signaller,Recipient,SequenceID,SequenceSize,Gesture,P,Duration,Category,logduration
190,15.174,723,Duane,Zimba,146,1,Object shake,0.473214286,9.2,Manual,2.219203484
191,15.174,724,Duane,Zimba,147,1,Object shake,0.473214286,15.04,Manual,2.710713319
192,15.175,725,Duane,Zimba,148,1,Object shake,0.473214286,6.08,Manual,1.805004696
193,15.185,728,Duane,Zimba,149,1,Object shake,0.473214286,8.56,Manual,2.14710019
194,15.186,730,Duane,Zimba,150,2,Object shake,0.473214286,2.84,Manual,1.043804052
195,15.188,734,Duane,Zimba,152,5,Jump,0.023214286,0.36,Body,-1.021651248
196,15.188,732,Duane,Zimba,152,5,Object shake,0.473214286,1.52,Manual,0.418710335
197,15.188,733,Duane,Zimba,152,5,Object shake,0.473214286,1.12,Manual,0.113328685
198,15.188,736,Duane,Zimba,152,5,Object shake,0.473214286,1.48,Manual,0.392042088
199,15.188,735,Duane,Zimba,152,5,Stomp object/ground,0.042857143,0.32,Manual,-1.139434283
200,16.1,551,Duane,Zimba,166,1,Swing: directed,0.005357143,1,Manual,0
201,16.4,554,Duane,Zimba,168,2,Object shake,0.473214286,1.64,Manual,0.494696242
202,16.4,555,Duane,Zimba,169,1,Object shake,0.473214286,4.52,Manual,1.508511994
203,16.4,558,Duane,Zimba,170,3,Object move,0.082142857,0.64,Manual,-0.446287103
204,16.4,557,Duane,Zimba,170,3,Object shake,0.473214286,4.2,Manual,1.435084525
205,16.4,556,Duane,Zimba,170,3,Shake head,0.001785714,0.4,Manual,-0.916290732
206,16.6,559,Duane,Zimba,171,1,Swing,0.039285714,1.48,Manual,0.392042088
207,16.1,560,Duane,Zimba,172,1,Object shake,0.473214286,1.36,Manual,0.3074847
208,16.1,561,Duane,Zimba,173,1,Object shake,0.473214286,7.28,Manual,1.985130862
209,16.1,562,Duane,Zimba,174,1,Object shake,0.473214286,2.4,Manual,0.875468737
210,18.7,391,Duane,Zimba,177,2,Object move,0.082142857,0.6,Manual,-0.510825624
211,18.7,392,Duane,Zimba,177,2,Object move,0.082142857,1.04,Manual,0.039220713
