ClipName,Record#,Signaller,SigAge,AgeClass,SigRankElo,Recipient,RecAge,RecAgeClass,Parous,Conception,SexRatio,SequenceID,SequenceSize,SequenceYN,Gesture,p,Context,Duration,Category,TypeN
15.103,614,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,81,2,Y,Object shake,0.473214286,Consortship,1.52,Manual,1
15.103,615,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,82,2,Y,Object shake,0.473214286,Consortship,7.36,Manual,1
15.103,616,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,82,2,Y,Object shake,0.473214286,Consortship,7.36,Manual,1
15.104,617,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,83,1,N,Object shake,0.473214286,Consortship,7.96,Manual,1
15.104,618,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,84,2,Y,Object shake,0.473214286,Consortship,1.56,Manual,1
15.104,619,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,84,2,Y,Object shake,0.473214286,Consortship,9.44,Manual,1
15.104,620,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,85,2,Y,Object shake,0.473214286,Consortship,1.28,Manual,1
15.104,621,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,85,2,Y,Object shake,0.473214286,Consortship,11.08,Manual,1
15.104,622,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,86,1,N,Object shake,0.473214286,Consortship,5.96,Manual,1
15.104,623,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,87,1,N,Object shake,0.473214286,Consortship,11.48,Manual,1
15.105,624,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,88,1,N,Object shake,0.473214286,Consortship,5.8,Manual,1
15.105,625,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,89,1,N,Object shake,0.473214286,Consortship,9.08,Manual,1
15.107,626,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,90,1,N,Object shake,0.473214286,Consortship,10.36,Manual,1
15.116,633,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,93,1,N,Object shake,0.473214286,Consortship,5.16,Manual,1
15.118,634,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,94,1,N,Object shake,0.473214286,Consortship,1.56,Manual,1
15.118,635,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,95,1,N,Object shake,0.473214286,Consortship,6.64,Manual,1
15.118,636,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,96,1,N,Object shake,0.473214286,Consortship,2.72,Manual,1
15.118,637,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,97,1,N,Object shake,0.473214286,Consortship,3,Manual,1
15.122,639,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,98,1,N,Object shake,0.473214286,Consortship,4.92,Manual,1
15.128,640,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,99,1,N,Object shake,0.473214286,Consortship,4.72,Manual,1
15.128,641,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,100,2,Y,Object shake,0.473214286,Consortship,3.88,Manual,1
15.128,642,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,100,2,Y,Object shake,0.473214286,Consortship,10.36,Manual,1
15.132,643,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,101,1,N,Object shake,0.473214286,Consortship,0.96,Manual,1
15.132,644,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,102,2,Y,Object shake,0.473214286,Consortship,3.84,Manual,1
15.132,645,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,102,2,Y,Object shake,0.473214286,Consortship,3.32,Manual,1
15.132,648,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,103,3,Y,Jump,0.023214286,Consortship,0.28,Body,2
15.132,646,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,103,3,Y,Object shake,0.473214286,Consortship,2.44,Manual,1
15.132,647,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,103,3,Y,Object shake,0.473214286,Consortship,3.4,Manual,1
15.132,649,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,104,1,N,Object shake,0.473214286,Consortship,3,Manual,1
15.132,650,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,105,1,N,Object shake,0.473214286,Consortship,2.68,Manual,1
15.133,655,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,108,1,N,Object shake,0.473214286,Consortship,1.8,Manual,1
