"","Communication_number","gesture_record_anon","morphs_anon","Signaller","Goal","Lumped_Gs","morph","Social_unit","log","rFq_morph","rFq_action"
"670","100439","Action_42","Morph_90","JN","Stopbehaviour","Push","Push.3","Sonso",-0.916290731874155,0.00510657193605684,0.0466252220248668
"671","100085","Action_38","Morph_81","JN","Climbonme","Present","Present.7","Sonso",0.215111379616945,0.00244227353463588,0.0492895204262877
"672","101128","Action_42","Morph_88","JN","Moveclose","Push","Push.1","Sonso",-0.82098055206983,0.0106571936056838,0.0466252220248668
"673","100445","Action_41","Morph_85","JN","Stopbehaviour","Pull","Pull.2","Sonso",-0.22314355131421,0.00643872113676732,0.0253108348134991
"674","101143","Action_23","Morph_47","JN","Moveclose","Hittingother","HitOther.3","Sonso",-0.328504066972036,0.00843694493783304,0.0157637655417407
"675","100087","Action_11","Morph_23","JN","Climbonme","Embrace","Embrace.2","Sonso",0.392042087776024,0.00199822380106572,0.005550621669627
"676","100086","Action_42","Morph_88","JN","Climbonme","Push","Push.1","Sonso",-0.385662480811985,0.0106571936056838,0.0466252220248668
"677","100085","Action_42","Morph_88","JN","Climbonme","Push","Push.1","Sonso",-0.0408219945202552,0.0106571936056838,0.0466252220248668
"678","100084","Action_38","Morph_81","JN","Climbonme","Present","Present.7","Sonso",-0.82098055206983,0.00244227353463588,0.0492895204262877
"679","101937","Action_41","Morph_85","JN","Climbonme","Pull","Pull.2","Sonso",0.0392207131532813,0.00643872113676732,0.0253108348134991
"680","100438","Action_42","Morph_92","JN","Stopbehaviour","Push","Push.5","Sonso",-0.82098055206983,0.0066607460035524,0.0466252220248668
"681","102424","Action_42","Morph_88","JN","Climbonme","Push","Push.1","Sonso",-1.27296567581289,0.0106571936056838,0.0466252220248668
"682","100087","Action_42","Morph_88","JN","Climbonme","Push","Push.1","Sonso",-0.7339691750802,0.0106571936056838,0.0466252220248668
"683","100089","Action_38","Morph_81","JN","Climbonme","Present","Present.7","Sonso",-0.653926467406664,0.00244227353463588,0.0492895204262877
"684","100088","Action_38","Morph_81","JN","Climbonme","Present","Present.7","Sonso",-1.20064501423326,0.00244227353463588,0.0492895204262877
