"","Communication_number","gesture_record_anon","morphs_anon","Signaller","Goal","Lumped_Gs","morph","Social_unit","log","rFq_morph","rFq_action"
"180","100645p1","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",0.631271776841858,0.0237566607460036,0.108792184724689
"181","100692","Action_42","Morph_93","DN","Position","Push","Push.6","Sonso",-0.44628710262842,0.0066607460035524,0.0466252220248668
"182","100691","Action_42","Morph_93","DN","Position","Push","Push.6","Sonso",-0.27443684570176,0.0066607460035524,0.0466252220248668
"183","100693","Action_42","Morph_93","DN","Position","Push","Push.6","Sonso",-0.22314355131421,0.0066607460035524,0.0466252220248668
"184","100701","Action_38","Morph_79","DN","Directattention","Present","Present.5","Sonso",2.09924416897602,0.00688277087033748,0.0492895204262877
"185","100449","Action_11","Morph_22","DN","Play","Embrace","Embrace.1","Sonso",1.24703229378638,0.00288632326820604,0.005550621669627
"186","102386","Action_63","Morph_132","DN","Stopbehaviour","Touch","Touch.1","Sonso",-0.7339691750802,0.0104351687388988,0.0341918294849023
"187","102385b","Action_13","Morph_28","DN","Stopbehaviour","Fling","Fling.2","Sonso",-0.879476758751439,0.00488454706927176,0.0117673179396092
"188","100695","Action_38","Morph_78","DN","Groom","Present","Present.4","Sonso",0.65232518603969,0.00288632326820604,0.0492895204262877
"189","100607","Action_34","Morph_69","DN","Followme","Objectshake","ObjectShake.5","Sonso",0.336472236621213,0.0011101243339254,0.108792184724689
"190","100600","Action_49","Morph_105","DN","Followme","Rub","Rub.1","Sonso",1.18784342239605,0.0044404973357016,0.0066607460035524
"191","100578","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.78507048107726,0.0746003552397869,0.108792184724689
"192","100595a","Action_22","Morph_43","DN","Followme","Hittingobjectobject","HitObject.5","Sonso",0.444685821261446,0.0044404973357016,0.00266429840142096
"193","100595a","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.182321556793955,0.0746003552397869,0.108792184724689
"194","100518","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.708377860289,0.0746003552397869,0.108792184724689
"195","100499","Action_61","Morph_130","DN","Followme","Throwobject","ThrowObject.1","Sonso",-0.82098055206983,0.00244227353463588,0.00244227353463588
"196","100500","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.11185751541813,0.0746003552397869,0.108792184724689
"197","100499","Action_33","Morph_62","DN","Followme","Objectmove","ObjectMove.2","Sonso",-0.510825623765991,0.00643872113676732,0.0406305506216696
"198","100595a","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.494696241836107,0.0746003552397869,0.108792184724689
"199","100515","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.3244189574018,0.0746003552397869,0.108792184724689
"200","100590p2","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.113328685307003,0.0746003552397869,0.108792184724689
"201","100601","Action_22","Morph_43","DN","Followme","Hittingobjectobject","HitObject.5","Sonso",2.33795223683134,0.0044404973357016,0.00266429840142096
"202","100606","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.04380405217311,0.0237566607460036,0.108792184724689
"203","100575","Action_50","Morph_107","DN","Followme","Shake","Shake.1","Sonso",1.09861228866811,0.00355239786856128,0.0122113676731794
"204","100594","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.336472236621213,0.0746003552397869,0.108792184724689
"205","100601","Action_18","Morph_39","DN","Followme","Hitobjectobject","HitObject.1","Sonso",0.518793793415168,0.0430728241563055,0.00466252220248668
"206","100589","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.392042087776024,0.0746003552397869,0.108792184724689
"207","100594","Action_24","Morph_51","DN","Followme","Jump","Jump.1","Sonso",-0.385662480811985,0.00732682060390764,0.00732682060390764
"208","100578","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",2.52732736567195,0.0746003552397869,0.108792184724689
"209","100501","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.18784342239605,0.0746003552397869,0.108792184724689
"210","100509","Action_60","Morph_127","DN","Followme","Swing","Swing.1","Sonso",0.712949807856125,0.0428507992895204,0.0475133214920071
"211","100499","Action_60","Morph_127","DN","Followme","Swing","Swing.1","Sonso",0.148420005118273,0.0428507992895204,0.0475133214920071
"212","100516p2","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",2.25339484880327,0.0746003552397869,0.108792184724689
"213","100586","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.30291275218084,0.0237566607460036,0.108792184724689
"214","100511p1","Action_33","Morph_64","DN","Followme","Objectmove","ObjectMove.4","Sonso",-0.127833371509885,0.00066607460035524,0.0406305506216696
"215","100596","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.21194097397511,0.0746003552397869,0.108792184724689
"216","100578","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.91692261218206,0.0746003552397869,0.108792184724689
"217","100602p2","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.79840401194672,0.0746003552397869,0.108792184724689
"218","100590p1","Action_17","Morph_41","DN","Followme","Hitobject","HitObject.3","Sonso",-0.44628710262842,0.00510657193605684,0.0559502664298401
"219","100586","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.444685821261446,0.0746003552397869,0.108792184724689
"220","100508","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",2.13298230860787,0.0746003552397869,0.108792184724689
"221","100601","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.64093657949347,0.0237566607460036,0.108792184724689
"222","100579","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.77833644889591,0.0746003552397869,0.108792184724689
"223","100601","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",1.35583515363518,0.0746003552397869,0.108792184724689
"224","100578","Action_60","Morph_127","DN","Followme","Swing","Swing.1","Sonso",0.0392207131532813,0.0428507992895204,0.0475133214920071
"225","100519","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.732367893713227,0.0746003552397869,0.108792184724689
"226","100508","Action_60","Morph_127","DN","Followme","Swing","Swing.1","Sonso",0.693147180559945,0.0428507992895204,0.0475133214920071
"227","100500","Action_61","Morph_130","DN","Followme","Throwobject","ThrowObject.1","Sonso",0.418710334858185,0.00244227353463588,0.00244227353463588
"228","100589","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.8754687373539,0.0746003552397869,0.108792184724689
"229","100593","Action_33","Morph_61","DN","Followme","Objectmove","ObjectMove.1","Sonso",1.68639895357023,0.0317495559502664,0.0406305506216696
"230","100591","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",-0.127833371509885,0.0746003552397869,0.108792184724689
