"","Communication_number","gesture_record_anon","morphs_anon","Signaller","Goal","Lumped_Gs","morph","Social_unit","log","rFq_morph","rFq_action"
"6259","280650","Action_14","Morph_34","FOKAIYE","Play","Grab","Grab.6","Bossou",-0.265268477614881,0.00161117078410311,0.023093447905478
"6260","280336","Action_38","Morph_76","KAI","Groom","Present","Present.2","Bossou",0.106160195828391,0.00590762620837809,0.0596133190118153
"6261","280623b","Action_13","Morph_27","VELU","Moveaway","Fling","Fling.1","Bossou",-0.627359440021942,0.056390977443609,0.0773361976369495
"6262","280623b","Action_13","Morph_27","VELU","Moveaway","Fling","Fling.1","Bossou",-0.913793851675568,0.056390977443609,0.0773361976369495
"6263","280601","Action_42","Morph_92","JIRE","Stopbehaviour","Push","Push.5","Bossou",-0.627359440021942,0.00644468313641246,0.0596133190118153
"6264","280317b","Action_4","Morph_10","YO","Affiliation","Bitekiss","Bite.2","Bossou",-0.381260419411347,0.0128893662728249,0.0306122448979592
"6265","280389a","Action_4","Morph_10","YO","Affiliation","Bitekiss","Bite.2","Bossou",-0.75928698306449,0.0128893662728249,0.0306122448979592
"6266","280281b","Action_34","Morph_65","VUI","Affiliation","Objectshake","ObjectShake.1","Bossou",0.909870164071232,0.00966702470461869,0.014500537056928
"6267","280281b","Action_50","Morph_107","VUI","Affiliation","Shake","Shake.1","Bossou",-0.729811164931537,0.0139634801288937,0.0343716433941998
"6268","280281b","Action_5","Morph_17","VUI","Affiliation","Bounce","Bounce.1","Bossou",-0.699165252885508,0.0204081632653061,0.0204081632653061
"6269","280281b","Action_36","Morph_72","VUI","Affiliation","Overstance","OverStance.1","Bossou",-0.646263594661095,0.00698174006444683,0.0134264232008593
"6270","280281b","Action_36","Morph_72","VUI","Affiliation","Overstance","OverStance.1","Bossou",-0.0682788407532944,0.00698174006444683,0.0134264232008593
"6271","280495","Action_40","Morph_82","NA_chimp","Sexualattention","Presentgenitalsforwards","PresentGenitals.1","Bossou",-1.00239343092757,0.0354457572502685,0.00859291084854995
"6272","280365","Action_38","Morph_79","VUI","Sociosexualattention","Present","Present.5","Bossou",-0.510825623765991,0.0134264232008593,0.0596133190118153
"6273","280533","Action_5","Morph_17","YOLO","Sexualattention","Bounce","Bounce.1","Bossou",0.000999500333083423,0.0204081632653061,0.0204081632653061
"6274","280533","Action_33","Morph_61","YOLO","Sexualattention","Objectmove","ObjectMove.1","Bossou",-0.0682788407532944,0.0193340494092374,0.0349087003222342
"6275","280533","Action_33","Morph_61","YOLO","Sexualattention","Objectmove","ObjectMove.1","Bossou",-0.916290731874155,0.0193340494092374,0.0349087003222342
"6276","280533","Action_63","Morph_133","YOLO","Sexualattention","Touch","Touch.2","Bossou",-0.265268477614881,0.00805585392051558,0.0429645542427497
"6277","280533","Action_34","Morph_65","YOLO","Sexualattention","Objectshake","ObjectShake.1","Bossou",0.313349819200359,0.00966702470461869,0.014500537056928
"6278","280395b","Action_54","Morph_114","TUA","Support","Stancebipedal","StanceBipedal.1","Bossou",-0.562118918153541,0.0171858216970999,0.0171858216970999
"6279","280395b","Action_60","Morph_127","TUA","Support","Swing","Swing.1","Bossou",-0.433864582629862,0.0306122448979592,0.0370569280343716
"6280","280145a","Action_33","Morph_61","FANLE","Playcontinue","Objectmove","ObjectMove.1","Bossou",0.151862349309246,0.0193340494092374,0.0349087003222342
"6281","280145a","Action_60","Morph_128","FANLE","Playcontinue","Swing","Swing.2","Bossou",-0.436955775199535,0.0037593984962406,0.0370569280343716
"6282","280145a","Action_8","Morph_19","FANLE","Playcontinue","Dangle","Dangle.1","Bossou",-0.470003629245736,0.0257787325456498,0.0257787325456498
"6283","280333","Action_42","Morph_90","JIRE","Climbonme","Push","Push.3","Bossou",0.161268147596122,0.0134264232008593,0.0596133190118153
"6284","280333","Action_38","Morph_75","JIRE","Climbonme","Present","Present.1","Bossou",-0.25618340539241,0.0150375939849624,0.0596133190118153
"6285","280102a","Action_45","Morph_100","FOTAIU","Affiliation","Reach","Reach.1","Bossou",1.36200166855085,0.0435016111707841,0.0719656283566058
"6286","280102a","Action_38","Morph_76","FOTAIU","Affiliation","Present","Present.2","Bossou",0.500775287912489,0.00590762620837809,0.0596133190118153
"6287","280139","Action_40","Morph_82","JEJE","Sexualattention","Presentgenitalsforwards","PresentGenitals.1","Bossou",0.0478373294141601,0.0354457572502685,0.00859291084854995
"6288","280030b","Action_43","Morph_98","FANLE","Stopbehaviour","Raise","Raise.3","Bossou",-1.00239343092757,0.00590762620837809,0.0349087003222342
"6289","280030b","Action_13","Morph_27","FANLE","Stopbehaviour","Fling","Fling.1","Bossou",-0.50916034444693,0.056390977443609,0.0773361976369495
"6290","280030b","Action_42","Morph_90","FANLE","Stopbehaviour","Push","Push.3","Bossou",-0.0325231917055601,0.0134264232008593,0.0596133190118153
"6291","280030b","Action_36","Morph_72","FANLE","Stopbehaviour","Overstance","OverStance.1","Bossou",-2.00991547903123,0.00698174006444683,0.0134264232008593
"6292","280367","Action_41","Morph_84","JIRE","Stopbehaviour","Pull","Pull.1","Bossou",-1.04412410338404,0.0037593984962406,0.0177228786251343
"6293","280367","Action_42","Morph_92","JIRE","Stopbehaviour","Push","Push.5","Bossou",-1.04412410338404,0.00644468313641246,0.0596133190118153
"6294","280367","Action_41","Morph_84","JIRE","Stopbehaviour","Pull","Pull.1","Bossou",-1.25878104082093,0.0037593984962406,0.0177228786251343
"6295","280146b","Action_34","Morph_65","JEJE","Play","Objectshake","ObjectShake.1","Bossou",0.958200134951365,0.00966702470461869,0.014500537056928
"6296","280146b","Action_8","Morph_19","JEJE","Play","Dangle","Dangle.1","Bossou",-0.541284831250699,0.0257787325456498,0.0257787325456498
