,ClipName,Record.,Signaller,Recipient,SequenceID,SequenceSize,Gesture,Duration,Category,n,P,logduration
243,BudongoBF 2013-11-04 Clip 17 10;25;43 MS KL copulate KC interfere (ZL),650,Musa,Kalema,491,1,Stomp object/ground,0.68,Manual,24,0.081355932,-0.385662481
244,BudongoBF 2013-11-04 Clip 17 10;25;43 MS KL copulate KC interfere (ZL),650,Musa,Kalema,492,1,Stomp object/ground,0.68,Manual,24,0.081355932,-0.385662481
245,BudongoBF 2013-11-04 Clip 17 10;25;43 MS KL copulate KC interfere (ZL),650,Musa,Kalema,493,2,Rocking: sitting,0.64,Body,14,0.047457627,-0.446287103
246,BudongoBF 2013-11-04 Clip 17 10;25;43 MS KL copulate KC interfere (ZL),650,Musa,Kalema,493,2,Stomp object/ground,0.68,Manual,24,0.081355932,-0.385662481
247,BudongoBF 2013-11-07 Clip 3 08;36;19 KL KT copulate KC (ZG ZD),703,Kato,Kalema,494,1,Big Loud Scratch,8.4,Manual,13,0.044067797,2.128231706
248,BudongoBF 2013-11-07 Clip 3 08;36;19 KL KT copulate KC (ZG ZD),703,Kato,Kalema,495,2,Present: genitals forwards,1.36,Body,26,0.088135593,0.3074847
249,BudongoBF 2013-11-07 Clip 3 08;36;19 KL KT copulate KC (ZG ZD),703,Kato,Kalema,495,2,Raise arm,1.12,Manual,9,0.030508475,0.113328685
250,BudongoBF 2013-12-09 Clip 3 10;49;26 KT OK solicit,706,Kato,Oakland,500,2,Big Loud Scratch,1.4,Manual,13,0.044067797,0.336472237
251,BudongoBF 2014-01-04 Clip 10 12;34;09 SM UP fail solicit,828,Simon,Upesi,504,1,Leaf clipping,2.36,Manual,35,0.118644068,0.858661619
252,BudongoBF 2014-01-05 Clip 15 08;48;19 PS IR copulate (SM UP HW),168,Pascal,Irene,512,1,Hit object/ground,0.48,Manual,46,0.155932203,-0.733969175
253,BudongoBF 2014-01-05 Clip 15 08;48;19 PS IR copulate (SM UP HW),168,Pascal,Irene,513,1,Present: genitals forwards,1.12,Body,26,0.088135593,0.113328685
254,BudongoBF 2014-01-05 Clip 39 11;07;19 KT KY solicit,172,Kato,Kewaya,520,1,Big Loud Scratch,4.88,Manual,13,0.044067797,1.58514522
255,BudongoBF 2014-01-05 Clip 39 11;07;19 KT KY solicit,172,Kato,Kewaya,523,3,Hit object/ground,0.56,Manual,46,0.155932203,-0.579818495
256,BudongoBF 2014-01-05 Clip 39 11;07;19 KT KY solicit,172,Kato,Kewaya,523,3,Hit object/ground,0.64,Manual,46,0.155932203,-0.446287103
257,BudongoBF 2014-01-05 Clip 39 11;07;19 KT KY solicit,172,Kato,Kewaya,523,3,Raise arm,0.72,Manual,9,0.030508475,-0.328504067
258,BudongoBF 2014-01-05 Clip 47 12;42;42 FK KY copulate,173,Frank,Kewaya,525,1,Present: genitals forwards,1.68,Body,26,0.088135593,0.518793793
259,BudongoBF 2014-01-14 Clip 18 12;08;21 FD RH copulate (SM WL vis),809,Fred,Ruhara,527,2,Present: genitals forwards,1.04,Body,26,0.088135593,0.039220713
